Sector Number / Name,Column1,Part,Vertical Limits,Column2,Lateral Limits
MORAY LOW,,1,"FL255
DB",,"610000N,0053000W-610000N,OOOOOOE- 6 00000N,OOOOOOOE- 57 20002N,0042958E-
570000N,0050000E-562502N,0050000E- 563604N,0033632E -
571126N,0021409W-571145N,0021815W-571328N,0023400W-
572337N,0041404W-573147N,0041203W-574546N,0043204W-
580149N,0041700W-591638N,0043000W-610000N,0053000W"
SCOTTISH AC (PRESTWICK),,,,,
MORAY HIGH,,1,"FL660
FL255",,"610000N,0053000W-610000N,OOOOOOOE- 600000N,OOOOOOOE- 572000N,0042958E-
570000N,0050000E- 562502N,0050000E- 563604N,0033632E-
571126N,0021409W-572337N,0041404W-573147N,0041203W-
591638N.0043000W-610000N.0053000W"
,,,"FL255
DB",,"545030N,0062442W-545418N,0053000W-545715N,0051530W-"
,,,,,"550750N,0050623W-550328N,0045044W-551001N,0044459W-"
ANTRIM,,1,,,"550603N,0041419W-543242N,0033001W-541050N,0041741W-
540000N,0044046W-535515N,0045234W-534742N,0051111W-
534817N,0053000W-535500N,0053000W-540543N,0062438W-"
,,,,,"542753N,0062306W-THENCE AN ARC Rl3NM THROUGH MIDPOINT-"
,,,,,543510N.0063402W-545030N.0062442W
"Sector
Number/Name",,Part,"Vertical
Limits",,Lateral Limits
SCOTTISH AC (PRESTWICK),,,,,
NORTH,,1,"FL195
DB",,"541505N,0030504W-541500N,0023948W-541500N,0023326W-
541500N,0021843W-541500N,0021000W-532804N,0013856W-
532124N,0013205W-532356N,OO15955W-532125N,0021544W-
533911N 0023953W-353918N 0023900W-541505N 0030504W"
"Sector
Number/ Name",,Part,"Vertical
Limits",,Lateral Limits
SCOTTISH AC (PRESTWICK),,,,,
,,,,,"541519N,002085SW-54430IN,0020027W-550000N,0015506W-"
EAST,,1,"FL285
DB",,"550000N,0013022W-541153 N,00l 4549W-540147N, 0013515W-
540147 N,0003928W-450145N,0001852W-540145N, 0000602E-533539N,0002756E-
533230N,0005044E-532856N,0005708E-525325N,0004613E-530426N,0004422W-
530642N,0004627W-531020N,0012046W-532124,N0013205W-"
,,,,,"532804N,0013856W-541500N,0021000W-541519N,0020855W"
SCOTTISH AC (PRESTWICK),,,,,
SE TRENT,,1,"FL195
--�-���--�-�-
DB",,"532125N,0 021544W-532356N,0015955W-532124N,0013205W-
5 3 1020    N,0012046W-524618N,0005633W-523259N,0013025W-
524448 N,0 014310W-524817N,001 4623W-532125N,00215 44W"
,,2,"FL195
--�-���--�-�-",,"524938N,0 013020W-525017N,001038W -524806N,0005821W-524006N,0013249W -
524938      N,0 013020W"
,,,95,,
,,3,"FL195
--�-���--�-�-",,"524006N,0 013249W-524806N,0005821W-524616N,0005631W-
52  3 259   N,0 013025W-524006N,0013249W"
,,,FL135,,
SE STAFA,,1,"FL195
--�-���--�-�-
DB",,"532125N,0 021544W-524817N,001 4623W-524448N,0014310W-
523259N,0 013025W-522406N,0015251 W-521716N,00210 07W-
521716 N,0 021007W-521629N,0021 216W-523251N,0023014W-
525038N,0 024527W-530006N,00245 04W-532125N,0021544W"
WALLASEY,,1,"FL195
-------------
DB",,"532125N,0 021544W-530006N,00245 04W-525318N,0024534W-
5 25419N,0 031839W-530812N,00317 36W-531226N,0032536W-
532318 N,0 032449W-534125N,0032734W -53391ON,0023952W-532125N,0021544W
,   ,"
SCOTTISH AC (PRESTWICK),,,,,
ISLE of MAN,,1,"FL255
DB",,"543000N, 0033559W-53412N5,0032734W-5341  49N,0033649W-
535358N, 0040608W-53541N9,0042151 W-534617N, 0043112W-
534742N, 0051111W-543000N,0033559W"
,,,,,"i
-
285
255 7
,,2,"FL195
--------
DB",,"541500N, 0033305W-541500N,0030456W-533918N,0023900W-
534125N, 0032734W-541500N,003330 5W"
,,3,"FL285
DB",,"534742N,0051111W-534617N,0043112W-535419N,0042151W-
535358N, 0040608W-534419N,0033649W-534125  N, 0032734W-
531226N, 0032536W-531957N,0033954W-532315  N,0051 017W-
531500N,0053000W-534545N,0053000W-534526N,0051644W-534742N,0051111W"
,,4,"FL285
FL195",,"531614N, 0052704W-532315N,0051017W-531957N, 0033954W-
531226N, 0032536W-525433N,003 2659W-525542N,0041447W-
531112N, 0050858W-53l148N,0053000W-53lSOON,0053000W-53161 4N,0052704W"
,,5,"FL285
FL255",,"534742N, 0051111W-534526N,0051644W-5345  48N,0053000W-534817N,0053000W"
S29,,1,FL285,,"54.15.01N,003.33.lOW-54.15. 05N,003.05.04W-54.15.00N,002.39.48W-
54.15.00N,002.33.26W-54.15. OON,002.18.43W-54.15.00N,002.10.OOW-
53.28.04N,001.38.56W-53.21.24N,001.32.05W-53.10.20N,001.20.46W-"
,,,"--------       53.00.33N,001.47.39W-52.57.5N7,001.54. 44W-52. 41.49N,002.37.50W-
FL195       52.50.38N,002.45.27W-52.5l . OON,002.45.29W-52.532. 6N,002.50.00W- 52.54.19N,003.18.39W-52.54.33N,003.26.59W-53.12.28N,003.25.41W-
53.23.19N,003.24.49W-53.4l .25N,003.27.34W-54.15.0l N,003.33.lOW",,
"Sector
Number/Name",,Part,"Vertical
Limits",,Lateral Limits
LONDON ACC,,,,,
1,,1,"FL660
------
FL305",,"511308N,0001600W-511048N,0001344W-510853N,0001125W-505057N,0000716E-
503700N,0003938W-504233N,0004532W-504149N,0005018W-
504121N,0011225W-504105N,0012329W-
504035N,0014110W-504024N,0020000W-511027N,0020000W-511308N,0001558W"
1,,2,"FL660
------
FL295",,"505152N,0001045E -505057N,0001155E-502405N,0004611E-500000N,0001500W-
500001N,0003200W-502948N,0003200W-503700N,0003938W-505152N,0001045E"
2,,1,"FL660
-------
FL305",,"520000N,0011226W-520939N,0004942W-515433N,0001425W-520228N,0001524E-
512658N,0005532E-512704N,0004758E-510105N,0011832E-505416N,0012800E-
503944N,0012717E-505530N,0010512E-510238N,0004855E-505904N,0000125E-
510853N,0001125W-511308N,0001600W-515111N,0005745W-520000N,0011226W"
,,,,,BKY
2,,2,"FL660
-------
FL355",,"505904N,0000125E-510238N,0004855E-505530N,0010512E-503944N,0012717E-
505904N,0000125E"
2,,3,"FL660
------
FL315",,"512704N,0004758E-512658N,0005532E-512300N,0020000E-510700N,0020000E-
510000N,0012800E-505461N,0012800E-501105N,0011832E-512704N,0004758E"
...,,,,,
,Sector Number/Name,Part,"Ve1tical
Limits",,Lateral Limits
,L01''DON ACC,,,,
,3,1,"FL335
-----
FL285",,"543000N,0033533W-543007N,0025245W-540848N,0023433W-
540043N,0022743W-540147N,0013515W-534309N,0011618W-
531836N,0005724W-530625N,0004612W-531017N,0012043W-
530031N,0014740W-531225N,0015844W-533144N,0021700W-
533947N,0025224-W-534125N,0032734W-543000N,0033533W"
,,,,,"543000N,0033533W-543007N,0025245W-540848N,0023433W-"
,,,,,"540043N,0022743W-540147N,0013515W-534309N,0011618W-"
,,,,,"531836N,0005724W-530625N,0004612W-531017N,0012043W-"
,4,1,"FL660
---
FL335",,"530031N,0014740W-531225N,0015844W-531029N,0020557W-
525100N,0024529W-525333N,0025014W-525340N,0025354W-
525355N,0030209W-525423N,0031838W-525437N,0032653W-
525542N,0041447W-531112N,0050859W-531148N,0053000W-"
,,,,,"534048N,0053000W-534602N,0053000W-534817N,0053000W-"
,,,,,"534617N,0043112W-535419N,0042151W-535358N,0040608W-"
,,,,,"534149N,0033649W-534125N,0032734W-543000N,003. 3533W"
LONDON ACC,,,,,
,,,,,"531148N,0053000W-531112N,0050859W-525542N,0041447W-"
,,,,,"525423N,0031838W-525340N 0025354W-525333N 0025014W-"
,,,FL335,,"525100N 0024529W-525045N,0024528W-524149N,0023750W-"
5,,1,,,"523251N,0023014W-521626N,0021213W-520946N,0020500W-"
,,,DB,,"520916N,0020428W-520001N,0024700W-520001N,0031635W-"
,,,,,"520522N,0035849W-523550N,0045152W-525705N,0053000W-"
,,,,,"531148N,0053000W"
5,,2,"FL335
FL265",,"520916N,0020428W-515942N,0015411W-515336N,0014741W-
514751N,0014136W-514126N,0020000W-511527N,0020000W-
512905N,0034542W-520522N,0035849W-520001N,0031635W-
520001N,0024700W-520916N,0020428W"
,,,,,"495457N,0023012W-494929N,0030203W-494707N,0031534W-"
6,,1,"FL305
DB",,"494414N,0033146W-493905N,0040005W-493718N,0040941W-
511719N,0034740W-512921N,0041210W-512905N,0034542W-
511527N,0020000W-505543N,0020000W-504947N,0023317W-
504459N,0023107W-503947N,0023109W-503712N,0021731W-"
,,,,,"503146N,0022018W-501745N,0022725W-495457N,0023012W"
Sector Number /Name,,Part,"Vertical
Limits",,Lateral Limits
LONDON ACC,,,,,
,,,,,"531225N,0015844W-531029N,0020557W-525100N,0024529W-"
,,,,,"525333N,0025014W-525340N,0025354W-525355N,0030209W-"
,,,FL335,,"525423N,0031838W-525437N,0032653W-525542N,0041447W-"
7,,1,,,"531112N,0050859W-531148N,0053000W-534048N,0053000W-"
,,,FL285,,"534602N,0053000W-534817N,0053000W-534617N,0043112W-"
,,,,,"535419N,0042151W-535358N,0040608W-534149N,0033649W-"
,,,,,"534125N,0032734W-533947N,0025224W-533144N,0021700W-531225N,0015844W"
,,,FL335,,"525705N,0053000W-520522N,0035849W-512905N,0034542W-"
8,,1,,,"512921N,0041210W-514034N,0060027W-520049N,0060720W-"
,,,DB,,"522000N,0053000W-525705N,0053000W"
9,,1,"660
DB",,"520049N,0060720W-514034N,0060027W-512921N,0041210W-
511719N,0034740W-493718N,0040941W-492841N,0045459W-
485000N,0080000W-493459N,0080000W-510000N,0080000W-
512528N,0071351W-520049N,0060720W"
LONDON ACC,,,,,
,,,,,"540147N,0013515W-540147N,0003928W-540144N,0002907W-"
,,,FL335,,"540145N,0001852 W-540145N,0000602E-533539 N,0002756E-533230N,00 05045E-"
10,,1,,,"532856N,0005709E-525324N,0004619E-530426N,000 4422W -530625N,00 04612W-"
,,,FL285,,"531223N,0005140W-531550N,0005451W-531836N,0005724W -"
,,,,,"534039N,0011419W-534309N,0011616W-535809N,0013132W -540147N,0013515W"
,,,,,"540145N,0000602E-540144N,0001447E-540141N,0002719E-532302N,0024006E-"
,,,,,"531813N,0024400E-531710N,0025209E-531441N,0031102E-531029N,0032158E-"
,,,F L3  3 5,,"525501N,0030854E-523250N,0025026E-522819N,0024644E-522842N,0023414E-"
10,,2,,,"523235N,0020608E-523412N,0015411E-522510N,0012816E-522535N,0010558E-"
,,,DB,,"522615N,0001348E-522621N,0000147E-522626N,0001012W-530426N,0004422W-"
,,,,,"525324N,0004619E-532856N,0005709E-533230N,0005045E-533539N,0002756E-"
,,,,,"540145N,0000602E"
,,,,,"540145N,0000602E-540144N,0001447E-540141N,0002719E-532302N,0024006E-"
,,,,,"531813N,0024400E-531710N,0025209E-531441N,0031102E-531029N,0032158E-"
,,,,,"525501N,0030854E-523250N,0025026E-522819N,0024644E-522842N,0023414E-"
,,,FL660,,"523235N,0020608E-523412N,0015411E-522510N,0012816E-522535N,0010558E-"
11,,1,,,"522615N,0001348E-522621N,0000147E-522626N,0001012W-530426N,0004422W-"
,,,FL335,,"530625N,0004612W-531223N,0005140W-531550N,0005451W-"
,,,,,"531836N,0005724W-534039N,0011419W-534309N,0011616W-"
,,,,,"535809N,0013132W-540147N,0013515W-540147N,0003928W-"
,,,,,"540144N,0002907W-540145N,0001852W-540145N,0000602E"
LONDON ACC,,,,,
,,,,,"522615N,0001348E-522535N,0010558E-522510N,0012816E-52341 2N,0015411E-"
,,,FL660,,"523235N,0020608E-522842N,0023414E-522819N,0024644E-522319N,0024237E-"
12,,1,,,"521826N,0023838E-520653N,0022917E-515702N,0022123E-515619N,0015102E-"
,,,FL215,,"514827N,0013643E-520713N,0005149E-521221N,0004819E-521104N,0003242E-"
,,,,,"521104N,0000528E-521906N,0000344W-5221.22N,0000147E-522615N,0001348E"
,,,,,SIVOA
,,,FL660,,"521104N,0000528E-521104N,0003242E-521221N,0004819E-52071 3N,0005149E-"
12,,2,,,"514827N,0013643E-514519N,0005029E-514417N,0003607E-515243N,0002633E-"
,,,FL245,,"520228N,0001524E-52l104N,0000528E"
13,,1,"FL660
FL245",,"514417N,0003607E-514519N,0005029E-514827N,0013643E-515619N,0015102E-
515702N,0022123E-513000N,0020000E-512638N,0020000E-512300N,0020000E-
512430N,0013643E-512617N,0010724E-512658N,0005532E-513156N,0005000E-
514004N,0004052E-514417N,0003607E"
,,,FL245,,"514827N,0013643E-515619N,0015102E-515702N,0022123E-513000N,0020000E-"
14,,1,,,"512638N,0020000E-512300N,0020000E-512430N,0013643E-514827N,0013643E"
,,,FL215,,
LONDON ACC,,,,,
15,,1,"FL255
----
FL195",,"512715N,0003300E-510834N,0003514E-510910N,0003349E-511734N,0000925E"
15,,2,"FL 275
------
FL195",,"51271  5N ,0003 30 0E-51  2704N,00  04758  E-51 01 05 N,0011  83 2E-50541   6N ,001280  0E-
505503N,0010512E-510238N,0004855E-510834N,0003514E-512715N,0003300E"
15,,3,"FL315
------
FL195",,"51270 4N,0004758E-512658N,0005531E-512554N,0011303E-512450N,0013119E-
510000N,0012800E-505416N,0012800E-510105N,0011832E-512704N,00047058E"
15,,4,"FL315
----
135",,"512 450N,0013119E-512300N,0020000E-510700N,0020000E-510000N,0012800E-
5120N,0013119E"
16,,1,"FL305
------
FL275",,"505842N,0005754E-510105N,0011832E-505416N,0012800E-505530N,0010512E-
505824N,0005754E"
16,,2,"FL305
------
DB",,"505530N,0010512E-505416N,0012800E-504244N,0014405E-503607N,0013220E-
503944N,0012717E-505530N,0010512E"
L0 1''D ON ACC,,,,,
17,,1,"FL255
-----
FL195",,"510853N,0001125W-511734N,0000925E-510910N,0003349E-510834N,0003514E-
51023N8,0 04585E-5 049,000012E4-51085N3,0001125W"
17,,2,"FL355
-----
FL195",,"510238N,0004855E-505656N,0010156E-504617N,0005850E-505904N,0000124E-
51023N8,0 04585E"
17,,3,"FL660
-----
FL195",,"505914N,0000124E-504617N,0005850E-504219N,0005741E-503330N,0003416E-
505075N,0 0155E-5049,000012E4"
17,,4,"FL355
-------
FL145",,"505656N,0010156E-505530N,0010512E-503944N,0012717E-504617N,0005850E-
505656N,0010156E"
17,,5,"FL660
-----
FL145",,"504617N,0005850E-503944N,0012717E-502405N,0004611E-503330N,0003416E-
504291N,0 05471E-456071N,0005580E"
18,,1,"FL255
-------
FL175",,"510853N,0001125W-505530N,0000602E-503700N,0003938W-505216N,0003843W-
510853N,0001125W"
18,,2,"FL295
-------
FL175",,"505530N,0000602E-503330N,0003416E-502613N,0001508E-502957N,0003209W-
503700N,0003938W-505530N,0000602E"
18,,3,"FL295
-----
DB",,"502957N,0003209W-502613N,0001508E-503330N,0003416E-502405N,0004611E-
50000N,0 01500W-50000N0,0 03518W-502597N,0 03209W"
LONDON ACC,,,,,
,,,FL305,,"505301N,0011454W-505512N,0005908W-504139N,0010307W--"
19,,1,,,"504125N,0012315W-505301N,0011454W"
,,,FL255,,
,,,,FL660,"504139N,0010307W-504153N,0004450W-503700N,0003938W-"
19,,2,,------,"502975N,0003209W-50000N,003158W-500000N,0010929W--"
,,,,FL185,"504139N,0010307W"
,,,,FL660,"504125N,0012315W-504139N,0010307W-500000N,0010929W-"
19,,3,,------,"500000N,002000W-520754N,0013240W- 504125N,0012315W"
,,,,FL345,
,,,,FL305,"505512N,0005908W-505538N,0005554W-504848N,0005214W-"
