,name,boundary
33,SCOTTISH AC (PRESTWICK),N54.30.00.00 W003.35.59.00/N53.41.49.00 W003.36.49.00/N53.53.58.00 W004.06.08.00/N53.46.17.00 W004.31.12.00/N53.47.42.00 W005.11.11.00/N54.30.00.00 W003.35.59.00/N54.15.00.00 W003.33.05.00/N54.15.00.00 W003.04.56.00/N53.39.18.00 W002.39.00.00/N53.41.25.00 W003.27.34.00/N54.15.00.00 W003.33.05.00/N53.47.42.00 W005.11.11.00/N53.46.17.00 W004.31.12.00/N53.54.19.00 W004.21.51.00/N53.53.58.00 W004.06.08.00/N53.44.19.00 W003.36.49.00/N53.41.25.00 W003.27.34.00/N53.12.26.00 W003.25.36.00/N53.19.57.00 W003.39.54.00/N53.23.15.00 W005.10.17.00/N53.15.00.00 W005.30.00.00/N53.45.45.00 W005.30.00.00/N53.45.26.00 W005.16.44.00/N53.47.42.00 W005.11.11.00/N53.16.14.00 W005.27.04.00/N53.23.15.00 W005.10.17.00/N53.19.57.00 W003.39.54.00/N53.12.26.00 W003.25.36.00/N52.54.33.00 W003.26.59.00/N52.55.42.00 W004.14.47.00/N53.11.12.00 W005.08.58.00/N53.11.48.00 W005.30.00.00/N53.16.14.00 W005.27.04.00/N53.47.42.00 W005.11.11.00/N53.45.26.00 W005.16.44.00/N53.45.48.00 W005.30.00.00/N53.48.17.00 W005.30.00.00
34,LONDON ACC 1 1,N51.13.08.00 W000.16.00.00/N51.10.48.00 W000.13.44.00/N51.08.53.00 W000.11.25.00/N50.50.57.00 E000.07.16.00/N50.37.00.00 W000.39.38.00/N50.42.33.00 W000.45.32.00/N50.41.49.00 W000.50.18.00/N50.41.21.00 W001.12.25.00/N50.41.05.00 W001.23.29.00/N50.40.35.00 W001.41.10.00/N50.40.24.00 W002.00.00.00/N51.10.27.00 W002.00.00.00/N51.13.08.00 W000.15.58.00
35,LONDON ACC 1 2,N50.51.52.00 E000.10.45.00/N50.50.57.00 E000.11.55.00/N50.24.05.00 E000.46.11.00/N50.00.00.00 W000.15.00.00/N50.00.01.00 W000.32.00.00/N50.29.48.00 W000.32.00.00/N50.37.00.00 W000.39.38.00/N50.51.52.00 E000.10.45.00
36,LONDON ACC 2 1,N52.00.00.00 W001.12.26.00/N52.09.39.00 W000.49.42.00/N51.54.33.00 W000.14.25.00/N52.02.28.00 E000.15.24.00/N51.26.58.00 E000.55.32.00/N51.27.04.00 E000.47.58.00/N51.01.05.00 E001.18.32.00/N50.54.16.00 E001.28.00.00/N50.39.44.00 E001.27.17.00/N50.55.30.00 E001.05.12.00/N51.02.38.00 E000.48.55.00/N50.59.04.00 E000.01.25.00/N51.08.53.00 W000.11.25.00/N51.13.08.00 W000.16.00.00/N51.51.11.00 W000.57.45.00/N52.00.00.00 W001.12.26.00
37,LONDON ACC 2 2,N50.59.04.00 E000.01.25.00/N51.02.38.00 E000.48.55.00/N50.55.30.00 E001.05.12.00/N50.39.44.00 E001.27.17.00/N50.59.04.00 E000.01.25.00
38,LONDON ACC,N51.27.04.00 E000.47.58.00/N51.26.58.00 E000.55.32.00/N51.23.00.00 E002.00.00.00/N51.07.00.00 E002.00.00.00/N51.00.00.00 E001.28.00.00/N50.54.61.00 E001.28.00.00/N50.11.05.00 E001.18.32.00/N51.27.04.00 E000.47.58.00/N54.30.00.00 W003.35.33.00/N54.30.07.00 W002.52.45.00/N54.08.48.00 W002.34.33.00/N54.00.43.00 W002.27.43.00/N54.01.47.00 W001.35.15.00/N53.43.09.00 W001.16.18.00/N53.18.36.00 W000.57.24.00/N53.06.25.00 W000.46.12.00/N53.10.17.00 W001.20.43.00/N53.00.31.00 W001.47.40.00/N53.12.25.00 W001.58.44.00/N53.31.44.00 W002.17.00.00/N53.39.47.00 W002.52.24.00/N53.41.25.00 W003.27.34.00/N54.30.00.00 W003.35.33.00/N54.30.00.00 W003.35.33.00/N54.30.07.00 W002.52.45.00/N54.08.48.00 W002.34.33.00/N54.00.43.00 W002.27.43.00/N54.01.47.00 W001.35.15.00/N53.43.09.00 W001.16.18.00/N53.18.36.00 W000.57.24.00/N53.06.25.00 W000.46.12.00/N53.10.17.00 W001.20.43.00/N53.00.31.00 W001.47.40.00/N53.12.25.00 W001.58.44.00/N53.10.29.00 W002.05.57.00/N52.51.00.00 W002.45.29.00/N52.53.33.00 W002.50.14.00/N52.53.40.00 W002.53.54.00/N52.53.55.00 W003.02.09.00/N52.54.23.00 W003.18.38.00/N52.54.37.00 W003.26.53.00/N52.55.42.00 W004.14.47.00/N53.11.12.00 W005.08.59.00/N53.11.48.00 W005.30.00.00/N53.40.48.00 W005.30.00.00/N53.46.02.00 W005.30.00.00/N53.48.17.00 W005.30.00.00/N53.46.17.00 W004.31.12.00/N53.54.19.00 W004.21.51.00/N53.53.58.00 W004.06.08.00/N53.41.49.00 W003.36.49.00/N53.41.25.00 W003.27.34.00
39,LONDON ACC 2 3,N53.11.48.00 W005.30.00.00/N53.11.12.00 W005.08.59.00/N52.55.42.00 W004.14.47.00/N52.54.23.00 W003.18.38.00/N52.53.40.00 W002.53.54.00/N52.53.33.00 W002.50.14.00/N52.51.00.00 W002.45.29.00/N52.50.45.00 W002.45.28.00/N52.41.49.00 W002.37.50.00
40,LONDON ACC 5 1,N52.32.51.00 W002.30.14.00/N52.16.26.00 W002.12.13.00/N52.09.46.00 W002.05.00.00/N52.09.16.00 W002.04.28.00/N52.00.01.00 W002.47.00.00/N52.00.01.00 W003.16.35.00/N52.05.22.00 W003.58.49.00/N52.35.50.00 W004.51.52.00/N52.57.05.00 W005.30.00.00/N53.11.48.00 W005.30.00.00
41,LONDON ACC 5 2,N52.09.16.00 W002.04.28.00/N51.59.42.00 W001.54.11.00/N51.53.36.00 W001.47.41.00/N51.47.51.00 W001.41.36.00/N51.41.26.00 W002.00.00.00/N51.15.27.00 W002.00.00.00/N51.29.05.00 W003.45.42.00/N52.05.22.00 W003.58.49.00/N52.00.01.00 W003.16.35.00/N52.00.01.00 W002.47.00.00/N52.09.16.00 W002.04.28.00/N49.54.57.00 W002.30.12.00/N49.49.29.00 W003.02.03.00/N49.47.07.00 W003.15.34.00
42,LONDON ACC,N49.44.14.00 W003.31.46.00/N49.39.05.00 W004.00.05.00/N49.37.18.00 W004.09.41.00/N51.17.19.00 W003.47.40.00/N51.29.21.00 W004.12.10.00/N51.29.05.00 W003.45.42.00/N51.15.27.00 W002.00.00.00/N50.55.43.00 W002.00.00.00/N50.49.47.00 W002.33.17.00/N50.44.59.00 W002.31.07.00/N50.39.47.00 W002.31.09.00/N50.37.12.00 W002.17.31.00/N50.31.46.00 W002.20.18.00/N50.17.45.00 W002.27.25.00/N49.54.57.00 W002.30.12.00
43,LONDON ACC 6 1,N53.12.25.00 W001.58.44.00/N53.10.29.00 W002.05.57.00/N52.51.00.00 W002.45.29.00/N52.53.33.00 W002.50.14.00/N52.53.40.00 W002.53.54.00/N52.53.55.00 W003.02.09.00/N52.54.23.00 W003.18.38.00/N52.54.37.00 W003.26.53.00/N52.55.42.00 W004.14.47.00
44,LONDON ACC 7 1,N53.11.12.00 W005.08.59.00/N53.11.48.00 W005.30.00.00/N53.40.48.00 W005.30.00.00/N53.46.02.00 W005.30.00.00/N53.48.17.00 W005.30.00.00/N53.46.17.00 W004.31.12.00/N53.54.19.00 W004.21.51.00/N53.53.58.00 W004.06.08.00/N53.41.49.00 W003.36.49.00/N53.41.25.00 W003.27.34.00/N53.39.47.00 W002.52.24.00/N53.31.44.00 W002.17.00.00/N53.12.25.00 W001.58.44.00/N52.57.05.00 W005.30.00.00/N52.05.22.00 W003.58.49.00/N51.29.05.00 W003.45.42.00
45,LONDON ACC 8 1,N51.29.21.00 W004.12.10.00/N51.40.34.00 W006.00.27.00/N52.00.49.00 W006.07.20.00/N52.20.00.00 W005.30.00.00/N52.57.05.00 W005.30.00.00
46,LONDON ACC,N52.00.49.00 W006.07.20.00/N51.40.34.00 W006.00.27.00/N51.29.21.00 W004.12.10.00/N51.17.19.00 W003.47.40.00/N49.37.18.00 W004.09.41.00/N49.28.41.00 W004.54.59.00/N48.50.00.00 W008.00.00.00/N49.34.59.00 W008.00.00.00/N51.00.00.00 W008.00.00.00/N51.25.28.00 W007.13.51.00/N52.00.49.00 W006.07.20.00
47,LONDON ACC 9 1,N54.01.47.00 W001.35.15.00/N54.01.47.00 W000.39.28.00/N54.01.44.00 W000.29.07.00/N54.01.45.00 W000.18.52.00/N54.01.45.00 E000.06.02.00/N53.35.39.00 E000.27.56.00/N53.32.30.00 E000.50.45.00
48,LONDON ACC 10 1,N53.28.56.00 E000.57.09.00/N52.53.24.00 E000.46.19.00/N53.04.26.00 W000.44.22.00/N53.06.25.00 W000.46.12.00/N53.12.23.00 W000.51.40.00/N53.15.50.00 W000.54.51.00/N53.18.36.00 W000.57.24.00/N53.40.39.00 W001.14.19.00/N53.43.09.00 W001.16.16.00/N53.58.09.00 W001.31.32.00/N54.01.47.00 W001.35.15.00/N54.01.45.00 E000.06.02.00/N54.01.44.00 E000.14.47.00/N54.01.41.00 E000.27.19.00/N53.23.02.00 E002.40.06.00/N53.18.13.00 E002.44.00.00/N53.17.10.00 E002.52.09.00/N53.14.41.00 E003.11.02.00/N53.10.29.00 E003.21.58.00/N52.55.01.00 E003.08.54.00/N52.32.50.00 E002.50.26.00/N52.28.19.00 E002.46.44.00/N52.28.42.00 E002.34.14.00
49,LONDON ACC 10 2,N52.32.35.00 E002.06.08.00/N52.34.12.00 E001.54.11.00/N52.25.10.00 E001.28.16.00/N52.25.35.00 E001.05.58.00/N52.26.15.00 E000.13.48.00/N52.26.21.00 E000.01.47.00/N52.26.26.00 W000.10.12.00/N53.04.26.00 W000.44.22.00/N52.53.24.00 E000.46.19.00/N53.28.56.00 E000.57.09.00/N53.32.30.00 E000.50.45.00/N53.35.39.00 E000.27.56.00/N54.01.45.00 E000.06.02.00/N54.01.45.00 E000.06.02.00/N54.01.44.00 E000.14.47.00/N54.01.41.00 E000.27.19.00/N53.23.02.00 E002.40.06.00/N53.18.13.00 E002.44.00.00/N53.17.10.00 E002.52.09.00/N53.14.41.00 E003.11.02.00/N53.10.29.00 E003.21.58.00/N52.55.01.00 E003.08.54.00/N52.32.50.00 E002.50.26.00/N52.28.19.00 E002.46.44.00/N52.28.42.00 E002.34.14.00/N52.32.35.00 E002.06.08.00/N52.34.12.00 E001.54.11.00/N52.25.10.00 E001.28.16.00/N52.25.35.00 E001.05.58.00
50,LONDON ACC,N52.26.15.00 E000.13.48.00/N52.26.21.00 E000.01.47.00/N52.26.26.00 W000.10.12.00/N53.04.26.00 W000.44.22.00/N53.06.25.00 W000.46.12.00/N53.12.23.00 W000.51.40.00/N53.15.50.00 W000.54.51.00/N53.18.36.00 W000.57.24.00/N53.40.39.00 W001.14.19.00/N53.43.09.00 W001.16.16.00/N53.58.09.00 W001.31.32.00/N54.01.47.00 W001.35.15.00/N54.01.47.00 W000.39.28.00/N54.01.44.00 W000.29.07.00/N54.01.45.00 W000.18.52.00/N54.01.45.00 E000.06.02.00
51,LONDON ACC 11 1,N52.26.15.00 E000.13.48.00/N52.25.35.00 E001.05.58.00/N52.25.10.00 E001.28.16.00/N52.34.12.00 E001.54.11.00/N52.32.35.00 E002.06.08.00/N52.28.42.00 E002.34.14.00/N52.28.19.00 E002.46.44.00/N52.23.19.00 E002.42.37.00
