,name,type,coords,freq
124,BETPO,FIX,N51.47.54.00 W000.43.28.00,000.000
125,BEVAM,FIX,N55.43.52.88 E000.15.02.96,000.000
126,BEVUP,FIX,N50.48.00.00 W002.14.20.00,000.000
127,BIDVA,FIX,N50.43.38.76 W000.58.39.48,000.000
128,BIFIN,FIX,N52.03.22.51 W002.27.18.91,000.000
129,BIGNO,FIX,N50.00.00.00 W002.49.30.00,000.000
130,BILLY,FIX,N60.01.10.57 W008.34.08.26,000.000
131,BILNI,FIX,N50.40.31.08 W002.07.32.56,000.000
132,BILTO,FIX,N56.30.00.00 W015.00.00.00,000.000
133,BILVO,FIX,N53.43.52.26 W003.11.08.89,000.000
134,BIMGO,FIX,N49.30.00.00 W014.00.00.00,000.000
135,BINBO,FIX,N53.24.06.07 E003.20.29.35,000.000
136,BINTI,FIX,N54.33.44.74 W001.59.44.93,000.000
137,BISRU,FIX,N51.04.18.09 E000.22.02.82,000.000
138,BLACA,FIX,N54.53.00.00 W005.09.31.92,000.000
139,BLIXY,FIX,N51.37.30.25 E001.58.31.54,000.000
140,BODSO,FIX,N53.03.08.25 E002.05.40.71,000.000
141,BOFUM,FIX,N53.32.13.98 W005.30.00.00,000.000
142,BOGMI,FIX,N50.59.52.57 W007.12.16.71,000.000
143,BOGNA,FIX,N50.42.07.00 W000.15.05.57,000.000
144,BOLBI,FIX,N53.27.59.75 W001.48.45.07,000.000
145,BOLRO,FIX,N50.00.00.00 W001.41.29.43,000.000
146,BOMBO,FIX,N51.59.44.29 W000.23.46.85,000.000
147,BONBY,FIX,N57.53.30.00 W004.20.36.00,000.000
148,BOYNE,FIX,N53.46.01.59 W005.30.00.00,000.000
149,BRAIN,FIX,N51.48.39.91 E000.39.06.00,000.000
150,BRASO,FIX,N51.41.06.57 E000.41.00.03,000.000
151,BRIPO,FIX,N50.42.27.47 W002.45.00.00,000.000
152,BRUCE,FIX,N56.14.11.05 W005.50.28.09,000.000
153,BUDON,FIX,N57.42.06.85 W000.33.43.38,000.000
154,BUGUP,FIX,N51.52.37.17 W001.36.59.89,000.000
155,BUKUT,FIX,N52.45.30.21 E002.48.01.68,000.000
156,BUMUX,FIX,N50.48.16.04 W003.20.58.46,000.000
157,BURNI,FIX,N53.43.37.76 W002.31.03.86,000.000
158,BUSTA,FIX,N52.05.34.45 E000.04.03.92,000.000
159,BUZAD,FIX,N51.56.32.08 W000.33.08.21,000.000
160,CALDA,FIX,N53.46.27.00 W002.38.38.38,000.000
161,CASEL,FIX,N53.49.52.13 W004.10.56.75,000.000
162,CHASE,FIX,N52.36.47.51 W001.55.01.92,000.000
163,CHINN,FIX,N57.57.51.00 W004.11.17.14,000.000
164,CLYDE,FIX,N55.57.48.43 W004.47.31.51,000.000
165,COWJO,FIX,N51.13.24.10 W003.48.33.52,000.000
166,COWLY,FIX,N51.36.57.58 W001.03.53.72,000.000
167,CREWE,FIX,N52.49.06.85 W002.18.26.90,000.000
168,CROFT,FIX,N53.37.36.89 W002.32.19.85,000.000
169,CUTEL,FIX,N55.53.08.89 E002.22.27.68,000.000
170,DAGGA,FIX,N51.49.19.37 E000.47.39.00,000.000
171,DAGKO,FIX,N50.51.37.57 W003.53.28.40,000.000
172,DALEY,FIX,N53.40.08.09 W002.20.57.26,000.000
173,DANDI,FIX,N53.41.03.71 W003.56.58.08,000.000
174,DAUNT,FIX,N55.25.08.18 W004.52.46.93,000.000
175,DAVOT,FIX,N57.20.41.57 W004.05.28.57,000.000
176,DAWLY,FIX,N50.34.27.31 W003.27.50.23,000.000
177,DAYNE,FIX,N53.14.19.12 W002.01.45.26,000.000
178,DEGOS,FIX,N54.11.21.19 W006.54.22.89,000.000
179,DELBO,FIX,N51.52.36.92 W001.16.24.01,000.000
180,DENBY,FIX,N53.31.12.53 W001.57.40.39,000.000
181,DENOG,FIX,N57.25.53.37 W001.45.15.83,000.000
182,DESIG,FIX,N53.31.38.13 W001.53.33.70,000.000
183,DESNA,FIX,N50.37.00.00 W000.47.00.31,000.000
184,DEVAL,FIX,N50.51.25.35 E001.28.00.00,000.000
185,DEVBI,FIX,N60.42.54.32 W008.46.10.49,000.000
186,DEVOM,FIX,N50.43.18.14 W003.45.19.04,000.000
187,DEXEN,FIX,N53.16.49.00 W005.30.00.00,000.000
188,DEZZU,FIX,N51.36.19.39 W002.00.00.00,000.000
189,DIBAL,FIX,N52.47.49.98 E002.30.00.00,000.000
190,DIDEL,FIX,N50.50.34.51 W003.59.50.15,000.000
191,DIGBI,FIX,N55.11.05.57 W001.03.01.45,000.000
192,DIGMA,FIX,N53.38.59.86 W003.37.23.50,000.000
193,DIGSU,FIX,N52.01.26.00 E000.38.05.00,000.000
194,DIGUT,FIX,N51.39.01.29 W001.17.59.47,000.000
195,DIKAS,FIX,N51.46.37.18 W003.15.33.14,000.000
196,DIKVU,FIX,N51.17.46.89 E000.19.01.84,000.000
197,DIMLI,FIX,N54.56.47.47 W006.36.54.74,000.000
198,DINIM,FIX,N51.00.00.00 W015.00.00.00,000.000
199,DIPSO,FIX,N53.03.12.62 W001.20.38.61,000.000
200,DISIT,FIX,N52.06.10.84 W001.42.40.91,000.000
201,DISVO,FIX,N50.39.31.38 W001.02.57.16,000.000
202,DITOB,FIX,N52.17.01.15 E001.49.27.08,000.000
203,DIXIB,FIX,N51.14.12.22 W000.50.53.53,000.000
204,DOBEM,FIX,N51.52.10.52 W002.55.45.33,000.000
205,DOGAL,FIX,N54.00.00.00 W015.00.00.00,000.000
206,DOKEK,FIX,N51.25.18.13 W006.03.28.64,000.000
207,DOKEN,FIX,N55.40.54.59 E002.06.56.05,000.000
208,DOLAS,FIX,N52.58.42.96 E001.00.03.43,000.000
209,DOLOP,FIX,N53.12.50.90 W003.37.50.73,000.000
210,DOLUR,FIX,N49.29.03.89 W005.03.26.07,000.000
211,DOMUT,FIX,N50.15.42.57 W001.40.08.65,000.000
212,DONAX,FIX,N53.29.11.34 W003.57.40.24,000.000
213,DONIB,FIX,N55.43.09.46 W007.41.44.04,000.000
214,DONNA,FIX,N51.42.00.38 W000.44.37.04,000.000
215,DOPEK,FIX,N53.23.03.95 W000.55.31.64,000.000
216,DORKI,FIX,N51.16.33.00 W000.15.52.00,000.000
217,DOSUN,FIX,N60.07.02.50 W006.23.38.51,000.000
218,DRAKE,FIX,N50.12.34.00 W000.04.34.00,000.000
219,DUCNO,FIX,N51.58.24.34 W002.18.51.65,000.000
220,DUFFY,FIX,N54.30.53.42 W005.51.38.80,000.000
221,DUFZO,FIX,N51.30.17.18 W004.20.35.69,000.000
222,EBOTO,FIX,N52.21.33.30 W000.41.39.63,000.000
223,EDONU,FIX,N56.17.36.00 W003.33.41.00,000.000
224,EDUXO,FIX,N53.24.24.00 W001.13.01.00,000.000
225,EKLAD,FIX,N53.15.13.70 W002.49.28.85,000.000
226,EKNIV,FIX,N51.24.25.62 E000.37.31.08,000.000
227,ELBOB,FIX,N54.43.58.15 W007.44.38.09,000.000
228,ELBUS,FIX,N55.29.43.28 W004.04.35.87,000.000
229,ELDAX,FIX,N50.29.18.36 E000.39.30.42,000.000
230,ELDER,FIX,N50.39.48.10 W001.20.13.93,000.000
231,ELKOG,FIX,N60.26.47.63 W009.30.00.00,000.000
232,ELMUD,FIX,N55.06.56.00 W001.40.24.00,000.000
233,ELNAB,FIX,N53.22.11.00 E001.12.51.00,000.000
234,ELNOD,FIX,N53.28.26.00 W001.35.24.00,000.000
235,ELRAG,FIX,N51.10.28.33 W005.06.20.82,000.000
236,ELRIP,FIX,N50.37.44.67 W002.59.23.73,000.000
237,ELSAN,FIX,N56.42.19.29 E003.43.57.58,000.000
238,ELSOX,FIX,N51.00.00.00 W014.00.00.00,000.000
239,ELVOS,FIX,N52.42.01.00 W001.18.25.00,000.000
240,EMBOR,FIX,N52.57.48.00 W001.17.45.25,000.000
